petAge,petGender,petBreed,PetCancerSuspect,Note,PetRiskValue
8/6/21,M,Golden Retriever,No,No concerns as of now. He has spring allergies. ,-0.164
21/09/2021,NA,Golden Retriever,Yes,Cancer,-0.15
8/2/16,MN,Siberian Husky,No,NA,-0.137
15/05/2016,MN,Chihuahua,Yes,He has chronic high liver enzymes (on meds for),-0.13
15/05/2018,FS,French Bulldog,No,NA,-0.13
1/8/16,FS,Belgian Shepherd Dog,No,Environmental allergies,-0.115
20/02/2019,M,miniature dachshund,No,Finnegan is in good health,-0.109
28/11/2012,M,Labrador Retriever,No,Interdigital Cysts,-0.1
15/03/2020,MN,Golden Retriever,No,Cancer screening ,-0.099
1/5/15,MN,American Staffordshire Terrier,Yes,Slowing down,-0.098
4/1/16,MN,Border Collie,No,None,-0.096
16/11/2016,F,Golden Retriever,No,none,-0.095
23/03/2014,F,Golden Retriever,No,No health concerns ,-0.095
10/6/14,FS,American Staffordshire Terrier,No,NA,-0.093
15/01/2015,FS,Labrador Retriever,No,Had a moderate positive in 2022,-0.093
10/4/12,M,Jack Russell Terrier,Yes,Diabetes,-0.092
12/12/14,MN,mix,No,NA,-0.09
26/11/2014,M,NA,Yes,He is losing weight 95 pounds to 75 pounds doesn't want to eat,-0.089
6/1/15,MN,Chihuahua,No,none,-0.088
25/04/2014,MN,Boxer,Yes,Hemangiosarcoma removed 2 months ago.,-0.088
14/05/2016,F,Labradoodle,Yes,Addison's,-0.087
1/3/19,MN,Golden Retriever,No,None,-0.087
15/06/2010,MN,Lhasa Apso,No,History of mast cells age ,-0.084
18/11/2016,FS,German Shepherd Dog,No,Toe nails falling off,-0.084
1/10/13,FS,American Staffordshire Terrier,Yes,Charlotte has had multiple mast cell tumors removed in the past that were benign but also had Erlichia Plasmosis at a young age and has had unusual blood count values that have us vigilant ,-0.082
17/02/2015,MN,Pit Bull Terrier ,No,NA,-0.082
20/04/2018,MN,Cocker Spaniel,No,NA,-0.08
3/2/19,M,miniature goldendoodle,No,None,-0.08
27/03/2017,NA,Basset Hound,No,NA,-0.079
16/05/2019,MN,mix,No,IVDD,-0.079
1/1/15,MN,Labrador Retriever,Yes,Many spots of hair loss always licking occasional excessive drooling always sleeping,-0.079
25/01/2020,FS,Bernese Mountain Dog,No,none,-0.079
15/07/2017,NA,Australian Terrier,No,NA,-0.079
14/02/2012,FS,mixed,No,NONE,-0.078
27/07/2015,FS,Irish Water Spaniel,No,none,-0.078
6/9/14,MN,mix,Yes,Mineralized Bile in Gall Bladder heart murmur skin tumor,-0.078
9/11/11,FS,Labrador Retriever,No,NA,-0.078
4/5/10,MN,Labrador Retriever,Yes,Sores or masses on their skin mobility - difficult walking/limping/stiffness coughing/sneezing eye irritation/discharge/swelling etc.,-0.078
24/10/2017,MN,Golden Retriever,No,NA,-0.077
14/08/2010,MN,Poodle,Yes,Lumps,-0.077
1/1/12,FS,mix,No,Old age,-0.077
1/12/11,MN,Rottweiler,No,NA,-0.077
14/09/2022,FS,Chihuahua,No,none,-0.076
22/02/2018,FS,Golden Retriever,Yes,Multiple lumps and mild weight loss,-0.076
1/1/80,MN,Labrador Retriever,No,none at the moment,-0.075
6/7/17,F,German Shepherd Dog,Yes,Rapid respirations ,-0.075
10/4/12,FS,mix,No,NA,-0.073
1/12/11,MN,Chihuahua,No,He has a lump and we aren’t sure if it’s just a fatty tumor or not ,-0.072
7/7/20,MN,Boston Terrier,No,Littermate living in same household developed and passed from lymphoma ,-0.072
31/12/1225,FS,Golden Retriever,No,NA,-0.072
19/03/2019,M,Golden Retriever,No,Cancer screen ,-0.072
21/02/2013,FS,Old English Sheepdog,No,Has had cancer previously (low grade MCT) Sebaceous Adenoma Inflammatory Bowel Disease HX masses,-0.072
